City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,Khandbari,27.3747,87.2039,71.24,39,26,4.61,NP,2022-04-17 16:46:08
166,Sanarate,14.795,-90.1922,82.71,30,42,3.27,GT,2022-04-17 16:46:08
167,Mount Isa,-20.7333,139.5,62.37,51,0,0.0,AU,2022-04-17 16:46:08
168,Atar,20.5169,-13.0499,101.46,7,6,10.09,MR,2022-04-17 16:46:09
169,Oxbow,49.2333,-102.1676,18.64,89,100,11.92,CA,2022-04-17 16:46:09
170,Saurimo,-9.6608,20.3916,66.45,94,90,3.71,AO,2022-04-17 16:46:09
171,Kununurra,-15.7667,128.7333,76.98,88,33,0.0,AU,2022-04-17 16:44:53
172,Dzhebariki-Khaya,62.2167,135.8,2.88,99,63,1.74,RU,2022-04-17 16:46:10
173,Srednekolymsk,67.45,153.6833,2.46,98,99,5.03,RU,2022-04-17 16:46:10
174,Buraydah,26.326,43.975,86.45,10,0,13.18,SA,2022-04-17 16:44:59
175,Samoded,63.6083,40.5111,33.51,98,100,7.07,RU,2022-04-17 16:46:11
176,Teguldet,57.3064,88.1667,44.58,91,55,5.73,RU,2022-04-17 16:46:11
177,Okhotsk,59.3833,143.3,18.52,90,100,5.44,RU,2022-04-17 16:46:11
178,Leh,34.1667,77.5833,41.27,32,59,4.99,IN,2022-04-17 16:46:11
179,Inhambane,-23.865,35.3833,73.38,94,40,3.44,MZ,2022-04-17 16:47:12
180,Rocha,-34.4833,-54.3333,69.58,59,91,5.3,UY,2022-04-17 16:46:02
181,Ravar,31.2656,56.8055,69.85,35,47,8.93,IR,2022-04-17 16:47:12
182,Flinders,-34.5833,150.8552,63.18,89,60,7.27,AU,2022-04-17 16:47:13
183,Saint-Augustin,51.226,-58.6502,34.29,99,100,14.25,CA,2022-04-17 16:47:13
184,Puerto Narino,-3.7703,-70.3831,84.38,75,68,3.31,CO,2022-04-17 16:47:13
185,Porbandar,21.6422,69.6093,81.34,73,1,8.72,IN,2022-04-17 16:47:14
186,Katsuura,35.1333,140.3,57.49,74,69,5.59,JP,2022-04-17 16:43:57
187,Hay River,60.8156,-115.7999,8.58,66,75,2.3,CA,2022-04-17 16:44:14
188,Calama,-22.4667,-68.9333,70.29,3,0,5.75,CL,2022-04-17 16:47:14
189,Meerssen,50.8875,5.75,67.6,25,0,13.8,NL,2022-04-17 16:47:14
190,Te Anau,-45.4167,167.7167,45.05,92,25,1.43,NZ,2022-04-17 16:47:15
191,Kathu,7.9178,98.3332,80.42,78,31,4.92,TH,2022-04-17 16:47:15
192,Taksimo,56.3444,114.8794,28.96,95,100,1.83,RU,2022-04-17 16:43:33
193,Gat,31.61,34.7642,90.28,30,1,11.99,IL,2022-04-17 16:47:15
194,Nova Aurora,-22.8667,-52.5667,72.95,58,3,7.14,BR,2022-04-17 16:47:16
195,Qaqortoq,60.7167,-46.0333,31.12,81,100,3.09,GL,2022-04-17 16:47:16
196,Bethel,41.3712,-73.414,48.02,42,40,10.36,US,2022-04-17 16:44:48
197,Chapais,49.7834,-74.8492,28.18,70,100,14.34,CA,2022-04-17 16:47:17
198,Jumla,29.2747,82.1838,51.21,59,48,4.63,NP,2022-04-17 16:44:03
199,Dakar,14.6937,-17.4441,81.48,73,75,21.85,SN,2022-04-17 16:42:37
200,Icod De Los Vinos,28.3724,-16.7119,91.15,48,85,7.25,ES,2022-04-17 16:47:17
201,Timiryazevskiy,56.49,84.8769,50.95,67,67,5.12,RU,2022-04-17 16:47:17
202,Lydenburg,-25.0978,30.4597,53.62,95,100,2.57,ZA,2022-04-17 16:47:18
203,Tuatapere,-46.1333,167.6833,44.15,91,1,4.29,NZ,2022-04-17 16:47:18
204,Quatre Cocos,-20.2078,57.7625,78.1,88,43,14.74,MU,2022-04-17 16:47:18
205,Denpasar,-8.65,115.2167,82.06,88,20,3.44,ID,2022-04-17 16:47:19
206,Cedar City,37.6775,-113.0619,61.39,47,0,6.91,US,2022-04-17 16:46:50
207,Borazjan,29.2666,51.2159,75.34,24,0,4.7,IR,2022-04-17 16:47:19
208,Puerto Escondido,15.85,-97.0667,87.84,53,63,8.43,MX,2022-04-17 16:47:20
209,Saint Anthony,45.0205,-93.218,44.1,45,100,16.11,US,2022-04-17 16:45:26
210,Richards Bay,-28.783,32.0377,64.42,92,100,2.06,ZA,2022-04-17 16:47:20
211,Arraial Do Cabo,-22.9661,-42.0278,76.96,73,75,9.22,BR,2022-04-17 16:42:59
212,Nyurba,63.2842,118.3319,32.18,98,100,10.4,RU,2022-04-17 16:47:20
213,Maniitsoq,65.4167,-52.9,24.51,64,99,3.2,GL,2022-04-17 16:47:21
214,Saint Cloud,45.5608,-94.1625,41.0,49,75,13.8,US,2022-04-17 16:47:21
215,Kuytun,54.3419,101.5036,48.06,75,80,8.19,RU,2022-04-17 16:47:21
216,Shelburne,44.0787,-80.2041,38.91,56,71,12.57,CA,2022-04-17 16:44:29
217,Naze,28.3667,129.4833,63.52,61,86,6.33,JP,2022-04-17 16:45:07
